,composition,phases,hardness (HV),temperature (C),compressive ys (MPa),compressive strength (MPa),compressive strain (%),doi,ys (MPa),uts (MPa),elongation (%),pmg_comp,is_ductile,Mo,Nb,Ta,V,W,Cr,Ti,Al,Co,Cu,Fe,Ni,Re,C,Hf,Zr,Si,Mn,Ru
872,CrFeNiV0.5W0.25,,869.0,25.0,,1113.0,3.28,dx.doi.org/10.1007/s11665-015-1767-8,,,,Cr1 Fe1 Ni1 V0.5 W0.25,False,0.0,0.0,0.0,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.0,0.0,0.0,0.0,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
873,CrFeNiV0.5W0.5,,777.0,25.0,,1306.0,4.49,dx.doi.org/10.1007/s11665-015-1767-8,,,,Cr1 Fe1 Ni1 V0.5 W0.5,False,0.0,0.0,0.0,0.125,0.125,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
874,CrFeNiV0.5W0.75,,783.0,25.0,,1599.0,6.0,dx.doi.org/10.1007/s11665-015-1767-8,,,,Cr1 Fe1 Ni1 V0.5 W0.75,False,0.0,0.0,0.0,0.11764705882352941,0.17647058823529413,0.23529411764705882,0.0,0.0,0.0,0.0,0.23529411764705882,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
919,Al8.0Co18.0Cr14.0Cu8.0Fe17.0Ni33.0MoTiW,FCC,230.0,25.0,,,,http://repository.yu.edu.jo/bitstream/123456789/911/1/633659.pdf,,,,Al8 Co18 Cr14 Cu8 Fe17 Mo1 Ni33 Ti1 W1,,0.009900990099009901,0.0,0.0,0.0,0.009900990099009901,0.13861386138613863,0.009900990099009901,0.07920792079207921,0.1782178217821782,0.07920792079207921,0.16831683168316833,0.32673267326732675,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,HfNbReW,,862.2333333333332,25.0,,,0.1,10.1016/j.dib.2022.108582,,,,Hf1 Nb1 Re1 W1,False,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
8,NbMoRuW,,1078.8999999999999,25.0,,,0.0,10.1016/j.dib.2022.108582,,,,Mo1 Nb1 Ru1 W1,False,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
12,HfNbReRuW,,1090.5,25.0,,,0.0,10.1016/j.dib.2022.108582,,,,Hf1 Nb1 Re1 Ru1 W1,False,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2
13,NbReMoRuW,,888.1666666666667,25.0,,,0.1,10.1016/j.dib.2022.108582,,,,Mo1 Nb1 Re1 Ru1 W1,False,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2
16,HfNbMoW,,603.5,25.0,,,0.1,10.1016/j.dib.2022.108582,,,,Hf1 Mo1 Nb1 W1,False,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
18,HfNbReMoW,,834.7666666666667,25.0,,,0.1,10.1016/j.dib.2022.108582,,,,Hf1 Mo1 Nb1 Re1 W1,False,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0
24,TaNbRuW,,832.3,25.0,,,0.1,10.1016/j.dib.2022.108582,,,,Nb1 Ru1 Ta1 W1,False,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
26,HfReMoRuW,,1114.9666666666667,25.0,,,0.0,10.1016/j.dib.2022.108582,,,,Hf1 Mo1 Re1 Ru1 W1,False,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2
28,HfTaMoW,,664.3,25.0,,,0.1,10.1016/j.dib.2022.108582,,,,Hf1 Mo1 Ta1 W1,False,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
29,HfReRuW,,1124.8,25.0,,,0.0,10.1016/j.dib.2022.108582,,,,Hf1 Re1 Ru1 W1,False,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.25
32,HfNbRuW,,720.9999999999999,25.0,,,0.0,10.1016/j.dib.2022.108582,,,,Hf1 Nb1 Ru1 W1,False,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25
43,HfTaNbW,,542.6666666666666,25.0,,,1.0,10.1016/j.dib.2022.108582,,,,Hf1 Nb1 Ta1 W1,False,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0
