,exact_dft_comp,nearest_training,at_pct_change,SVC_prediction,SVC_decision,radius_deviation,Hmix,Smix,pauling pairwise mismatch,shear modulus V_AVG,bulk modulus V_AVG,r_s,VEC,poissons ratio V_AVG,Tm,G/B,pressure field
D1_MoNbTaWTiHfZr,Hf0.1125Zr0.1875Ta0.175Ti0.1625Nb0.0875Mo0.0625W0.2125,Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,16.6,True,4.37,0.0610128515189713,-4.180655095556824,15.565178350882553,0.2965629935226971,67.787870640032,174.28123119559706,1.9434434412656136,4.818637340959763,0.3302272450303747,2784.448886306875,0.3889568037533152,14.28496648752708
D2_MoWReRu,Re0.22916667Mo0.29166667Ru0.22916667W0.25,ReMoRuW,4.2,True,2.1,0.0078337358610307,-5.36164243273967,11.5001557317355,0.1123375787197246,127.85661434298822,280.11610464596805,1.7518170382036329,6.942804006992976,0.2979088373086519,3068.665082411004,0.4564414977303183,25.078569224796237
D3_MoNbWReHf,Hf0.234375Nb0.1875Re0.203125Mo0.0625W0.3125,HfNbReMoW,15.0,True,1.39,0.0591455576606259,-13.333926893408416,12.6603139137347,0.3220631174177515,101.2208661879248,243.99841264280707,1.843223730321707,5.550395383942114,0.3292185987191908,3142.305704818144,0.4148423143067883,21.28209213211686
D4_MoNbTaWZr,Zr0.025Ta0.2875Nb0.175Mo0.15W0.3625,WNbMoTaZr0.1,16.3,True,0.79,0.0315940646599198,-6.692011370256571,11.697243065207337,0.3219683524468165,87.6049696983619,235.7865382593474,1.8255784689062748,5.489352137175707,0.3244191388631026,3252.9058189119582,0.3715435594631066,18.222406335737944
D5_TaWHfRu,Hf0.3125Ta0.1875Ru0.1875W0.3125,HfTaRuW,12.5,True,0.09,0.0671034105878273,-22.5715857294848,11.190375601967329,0.3767422572646284,104.73994818344836,210.72523065755337,1.8702126967608896,5.724039966613523,0.3228889720864411,2984.2131494610057,0.4970451229623271,21.71224527001752
B1_TaVWCr,Ta0.20833333V0.14583333Cr0.35416667W0.29166667,Cr1 Ta1 V1 W1,14.6,False,-2.8,0.0522241914757682,-3.587421028453207,11.09551268898639,0.2641989974725987,108.18575235744976,211.14050867359413,1.7774367765614507,5.64585062775658,0.2805560319051323,2841.649952284736,0.5123874761744371,20.431514144239728
