,Composition,Phases present,Hardness (HVN),Yield Strength (MPa),Ultimate Tensile Strength (MPa),Elongation (%),Compressive strength (MPa),Plasticity (%) - Compressive,Note on any unqiue processing or data features,Source,FCC,BCC,HCP,IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
0,Al0.2Co1.5CrFeNi1.5Ti0.55Si0.1,FCC+IM,520,,,,2100,46,Ball milled,https://doi.org/10.1016/j.jallcom.2021.159122,1,0,0,1,0,0.034,0,0,0,0.256,0.171,0,0.171,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0.017,0,0,0.094,0,0,0,0,0
1,Al0.2Co1.5CrFeNi1.5Ti0.65Si0.3,FCC+IM,640,,,,1900,24,Ball milled,https://doi.org/10.1016/j.jallcom.2021.159122,1,0,0,1,0,0.033,0,0,0,0.244,0.163,0,0.163,0,0,0,0,0,0,0,0,0,0,0.244,0,0,0,0.049,0,0,0.106,0,0,0,0,0
2,Al0.2Co1.5CrFeNi1.5Ti0.75Si0.5,FCC+IM,770,,,,1600,15,Ball milled,https://doi.org/10.1016/j.jallcom.2021.159122,1,0,0,1,0,0.031,0,0,0,0.233,0.155,0,0.155,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0.078,0,0,0.116,0,0,0,0,0
3,CoFeNi,FCC,125,,,,204,,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0,0,0,0,0.333,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0,0
4,CoFeNiSi0.25,FCC,149,,,,196,,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0,0,0,0,0.308,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0.077,0,0,0,0,0,0,0,0
5,CoFeNiSi0.5,FCC+IM,287,,,,476,,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,1,0,0,0,0,0,0.286,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0.143,0,0,0,0,0,0,0,0
6,CoFeNiSi0.75,FCC+IM,570,,,,1301,,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,1,0,0,0,0,0,0.267,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0.2,0,0,0,0,0,0,0,0
7,Al0.25CoFeNi,FCC,138,,,,158,,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0.077,0,0,0,0.308,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,0
8,Al0.5CoFeNi,FCC + BCC,212,,,,346,,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,0,0,0.143,0,0,0,0.286,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0
9,Al0.75CoFeNi,FCC + BCC,385,,,,794,,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,0,0,0.2,0,0,0,0.267,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0.267,0,0,0,0,0,0,0,0,0,0,0,0
10,CoCrFeNiTi,FCC,,,,,,9,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0
11,Al0.7Co0.3CrFeNi,FCC + BCC + B2,624,,,,2033,8,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,1,0,0.175,0,0,0,0.075,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
12,AlCoCrFeNi,BCC,,,,,1251,33,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
13,AlC0.1CoCrFeNi,BCC + IM,,,,,957,11,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.196,0,0.02,0,0.196,0.196,0,0.196,0,0,0,0,0,0,0,0,0,0,0.196,0,0,0,0,0,0,0,0,0,0,0,0
14,AlC0.2CoCrFeNi,BCC + IM,,,,,906,9,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.192,0,0.038,0,0.192,0.192,0,0.192,0,0,0,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0
15,AlC0.3CoCrFeNi,BCC + IM,,,,,867,8,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.189,0,0.057,0,0.189,0.189,0,0.189,0,0,0,0,0,0,0,0,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,0
16,AlC0.4CoCrFeNi,BCC + IM,,,,,1056,7,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.185,0,0.074,0,0.185,0.185,0,0.185,0,0,0,0,0,0,0,0,0,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0
17,AlC0.5CoCrFeNi,BCC + IM,,,,,1060,6,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.182,0,0.091,0,0.182,0.182,0,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0
18,AlCCoCrFeNi,BCC + IM,,,,,1251,7,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.167,0,0.167,0,0.167,0.167,0,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0
19,AlC1.5CoCrFeNi,BCC + IM,,,,,1255,6,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.154,0,0.231,0,0.154,0.154,0,0.154,0,0,0,0,0,0,0,0,0,0,0.154,0,0,0,0,0,0,0,0,0,0,0,0
20,AlCoCrFeMo0.1Ni,BCC,,,,,1804,9,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.196,0,0,0,0.196,0.196,0,0.196,0,0,0,0,0,0,0.02,0,0,0,0.196,0,0,0,0,0,0,0,0,0,0,0,0
21,AlCoCrFeMo0.2Ni,BCC + IM,,,,,2456,3,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.192,0,0,0,0.192,0.192,0,0.192,0,0,0,0,0,0,0.038,0,0,0,0.192,0,0,0,0,0,0,0,0,0,0,0,0
22,AlCoCrFeMo0.3Ni,BCC + IM,,,,,2649,3,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.189,0,0,0,0.189,0.189,0,0.189,0,0,0,0,0,0,0.057,0,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,0
23,AlCoCrFeMo0.4Ni,BCC + IM,,,,,2670,3,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.185,0,0,0,0.185,0.185,0,0.185,0,0,0,0,0,0,0.074,0,0,0,0.185,0,0,0,0,0,0,0,0,0,0,0,0
24,AlCoCrFeMo0.5Ni,BCC + IM,,,,,2757,3,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.182,0,0,0,0.182,0.182,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0
25,AlCoCrFeNb0.1Ni,BCC,569,,,,1641,17,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.196,0,0,0,0.196,0.196,0,0.196,0,0,0,0,0,0,0,0,0.02,0,0.196,0,0,0,0,0,0,0,0,0,0,0,0
26,AlCoCrFeNb0.25Ni,BCC + IM,668,,,,1959,11,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.19,0,0,0,0.19,0.19,0,0.19,0,0,0,0,0,0,0,0,0.048,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0
27,AlCoCrFeNb0.5Ni,BCC + IM,747,,,,2473,4,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.182,0,0,0,0.182,0.182,0,0.182,0,0,0,0,0,0,0,0,0.091,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0
28,AlCoCrFeNiSi0.2,BCC,,,,,1265,14,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.192,0,0,0,0.192,0.192,0,0.192,0,0,0,0,0,0,0,0,0,0,0.192,0,0,0,0.038,0,0,0,0,0,0,0,0
29,AlCoCrFeNiSi0.4,BCC,,,,,1481,13,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.185,0,0,0,0.185,0.185,0,0.185,0,0,0,0,0,0,0,0,0,0,0.185,0,0,0,0.074,0,0,0,0,0,0,0,0
30,AlCoCrFeNiSi0.6,BCC,,,,,1834,3,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.179,0,0,0,0.179,0.179,0,0.179,0,0,0,0,0,0,0,0,0,0,0.179,0,0,0,0.107,0,0,0,0,0,0,0,0
31,AlCoCrFeNiSi0.8,BCC + IM,,,,,2179,2,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.172,0,0,0,0.172,0.172,0,0.172,0,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0.138,0,0,0,0,0,0,0,0
32,AlCoCrFeNiSi,BCC,,,,,1110,,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.167,0,0,0,0.167,0.167,0,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0.167,0,0,0,0,0,0,0,0
33,Al0.5CoCrFeNiTi,BCC + IM,,,,,,10,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.091,0,0,0,0.182,0.182,0,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.182,0,0,0,0,0
34,AlCoCrFeNiTi0.5,FCC,178,,,,2040,24,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0.182,0,0,0,0.182,0.182,0,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0,0
35,AlCoCrFeNiTi,BCC,,,,,1860,9,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.167,0,0,0,0.167,0.167,0,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0.167,0,0,0,0,0
36,AlCoCrFeNiTi1.5,BCC + IM,,,,,2220,5,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.154,0,0,0,0.154,0.154,0,0.154,0,0,0,0,0,0,0,0,0,0,0.154,0,0,0,0,0,0,0.231,0,0,0,0,0
37,Al1.5CoCrFeNiTi,BCC,,,,,,10,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.231,0,0,0,0.154,0.154,0,0.154,0,0,0,0,0,0,0,0,0,0,0.154,0,0,0,0,0,0,0.154,0,0,0,0,0
38,Al2.0CoCrFeNiTi,BCC,643,,,,,5,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.286,0,0,0,0.143,0.143,0,0.143,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0.143,0,0,0,0,0
39,CoCrFeMnNi,FCC,144,,,,230,75,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
40,CoCrFeMnNiV0.25,FCC,151,,,,200,75,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0,0,0,0,0.19,0.19,0,0.19,0,0,0,0,0,0.19,0,0,0,0,0.19,0,0,0,0,0,0,0,0.048,0,0,0,0
41,CoCrFeMnNiV0.5,FCC,186,,,,620,75,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0,0,0,0,0.182,0.182,0,0.182,0,0,0,0,0,0.182,0,0,0,0,0.182,0,0,0,0,0,0,0,0.091,0,0,0,0
42,CoCrFeMnNiV0.75,FCC + IM,342,,,,740,8,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,1,0,0,0,0,0,0.174,0.174,0,0.174,0,0,0,0,0,0.174,0,0,0,0,0.174,0,0,0,0,0,0,0,0.13,0,0,0,0
43,CoCrFeMnNiV,FCC + IM,650,,,,1660,1,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,1,0,0,0,0,0,0.167,0.167,0,0.167,0,0,0,0,0,0.167,0,0,0,0,0.167,0,0,0,0,0,0,0,0.167,0,0,0,0
44,AlCrFeNi,BCC,472,,,,1406,29,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.25,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
45,AlCrFeNiMo0.2,BCC,549,,,,1487,29,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.238,0,0,0,0,0.238,0,0.238,0,0,0,0,0,0,0.048,0,0,0,0.238,0,0,0,0,0,0,0,0,0,0,0,0
46,AlCrFeNiMo0.5,BCC,622,,,,1749,13,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.222,0,0,0,0,0.222,0,0.222,0,0,0,0,0,0,0.111,0,0,0,0.222,0,0,0,0,0,0,0,0,0,0,0,0
47,AlCrFeNiMo0.8,BCC + IM,854,,,,1513,1,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.208,0,0,0,0,0.208,0,0.208,0,0,0,0,0,0,0.167,0,0,0,0.208,0,0,0,0,0,0,0,0,0,0,0,0
48,CoCrCuFeNi,FCC,132,,,,230,,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
49,CoCrCuFeNiTi0.5,FCC,,,,,700,29,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0,0,0,0,0.182,0.182,0.182,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0,0
50,CoCrCuFeNiTi0.8,FCC + Im,,,,,1042,3,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,1,0,0,0,0,0,0.172,0.172,0.172,0.172,0,0,0,0,0,0,0,0,0,0,0.172,0,0,0,0,0,0,0.138,0,0,0,0,0
51,CoCrCuFeNiTi,FCC,,,,,1272,2,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0,0,0,0,0.167,0.167,0.167,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0.167,0,0,0,0,0
52,Al0.25CoCrCu0.75FeNiTi0.5,FCC,,,,,750,39,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0.045,0,0,0,0.182,0.182,0.136,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0,0
53,Al0.5CoCrCuFeNi,FCC,210,,,,388,,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0.091,0,0,0,0.182,0.182,0.182,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0
54,AlCoCrCuFeNi,FCC + BCC,406,,,,950,,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,0,0,0.167,0,0,0,0.167,0.167,0.167,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0
55,AlCoCrCuFeMnNi,FCC + BCC + Im,,,,,1005,15,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,1,0,0.143,0,0,0,0.143,0.143,0.143,0.143,0,0,0,0,0,0.143,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0
56,AlCoCrCuFeNiTi,FCC + BCC,,,,,1234,9,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,0,0,0.143,0,0,0,0.143,0.143,0.143,0.143,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0.143,0,0,0,0,0
57,AlCoCrCuFeNiV,FCC + BCC,,,,,1469,16,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,0,0,0.143,0,0,0,0.143,0.143,0.143,0.143,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0.143,0,0,0,0
58,Al2.0CoCrCuFeNi,FCC + BCC,560,,,,1620,,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,0,0,0.286,0,0,0,0.143,0.143,0.143,0.143,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0,0,0,0,0,0
59,Al0.5CoCrCu0.5FeNiTi0.5,FCC + BCC,,,,,1580,17,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,0,0,0.091,0,0,0,0.182,0.182,0.091,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0,0
60,Al0.75CoCrCu0.25FeNiTi0.5,FCC + BCC,,,,,1900,12,,https://doi.org/10.1016/j.dib.2018.11.111,1,1,0,0,0,0.136,0,0,0,0.182,0.182,0.045,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0,0
61,AlCoCrCuNiTi,BCC,,,,,,8,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.167,0,0,0,0.167,0.167,0.167,0,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0.167,0,0,0,0,0
62,AlCoCrCuNiTiY0.5,Im,,,,,,3,,https://doi.org/10.1016/j.dib.2018.11.111,0,0,0,1,0,0.154,0,0,0,0.154,0.154,0.154,0,0,0,0,0,0,0,0,0,0,0,0.154,0,0,0,0,0,0,0.154,0,0,0.077,0,0
63,AlCoCrCuNiTiY0.8,Im,,,,,,5,,https://doi.org/10.1016/j.dib.2018.11.111,0,0,0,1,0,0.147,0,0,0,0.147,0.147,0.147,0,0,0,0,0,0,0,0,0,0,0,0.147,0,0,0,0,0,0,0.147,0,0,0.118,0,0
64,AlCoCrCuNiTiY,Im,,,,,,4,,https://doi.org/10.1016/j.dib.2018.11.111,0,0,0,1,0,0.143,0,0,0,0.143,0.143,0.143,0,0,0,0,0,0,0,0,0,0,0,0.143,0,0,0,0,0,0,0.143,0,0,0.143,0,0
65,AlCoFeNi,BCC,456,,,,964,,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.25,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
66,AlCrCuFeNiTi,BCC + IM,,,,,,,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.167,0,0,0,0,0.167,0.167,0.167,0,0,0,0,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0.167,0,0,0,0,0
67,Al1.125CuFe0.75NiTi1.125,FCC,516,,,,980,7,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0.225,0,0,0,0,0,0.2,0.15,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.225,0,0,0,0,0
68,Al22.5Cu20.0Fe15.0Ni20.0Ti22.5,FCC,516,,,,980,7,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0.225,0,0,0,0,0,0.2,0.15,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.225,0,0,0,0,0
69,AlCuFeNiTi,FCC,516,,,,1074,8,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0
70,AlCuNiTi,FCC,537,,,,300,1,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0
71,AlLi0.5MgSn0.2Zn0.5,FCC + IM,,,,,546,,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,1,0,0.312,0,0,0,0,0,0,0,0,0,0,0.156,0.312,0,0,0,0,0,0,0,0,0,0,0.062,0,0,0,0,0,0.156,0
72,AlLiMgSnZn,FCC + HCP + IM,,,,,600,1,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,1,1,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0
73,Al8.0Li0.5Mg0.5Sn0.5Zn0.5,FCC + IM,,,,,415,16,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,1,0,0.8,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.05,0
74,Al8.0Cu0.5Li0.5Mg0.5Zn0.5,FCC + IM,,,,,488,17,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,1,0,0.8,0,0,0,0,0,0.05,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0
75,AlCr0.5NbTiV,BCC,,,,,1300,1,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.222,0,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0.222,0,0,0,0,0,0,0,0,0.222,0.222,0,0,0,0
76,AlCrNbTiV,BCC + IM,,,,,1550,1,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0
77,AlCr1.5NbTiV,FCC + IM,,,,,1700,1,,https://doi.org/10.1016/j.dib.2018.11.111,1,0,0,1,0,0.182,0,0,0,0,0.273,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0,0.182,0.182,0,0,0,0
78,Al0.4Hf0.6NbTaTiZr,BCC,500,,,,1841,10,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2
79,Al0.3HfNbTaTiZr,BCC,353,,,,1188,50,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.057,0,0,0,0,0,0,0,0,0,0.189,0,0,0,0,0,0.189,0,0,0,0,0,0,0,0.189,0.189,0,0,0,0,0.189
80,Al0.5HfNbTaTiZr,BCC,396,,,,1302,46,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.091,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0.182,0,0,0,0,0,0,0,0.182,0.182,0,0,0,0,0.182
81,Al0.75HfNbTaTiZr,BCC,427,,,,1415,30,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0.174,0,0,0,0,0,0.174,0,0,0,0,0,0,0,0.174,0.174,0,0,0,0,0.174
82,AlMo0.5NbTa0.5TiZr,BCC,591,,,,2000,10,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0.2
83,Al0.25MoNbTiV,BCC,460,,,,1250,13,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0,0.235,0,0,0,0,0,0,0,0,0.235,0.235,0,0,0,0
84,Al0.5MoNbTiV,BCC,487,,,,1625,11,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0,0.222,0,0,0,0,0,0,0,0,0.222,0.222,0,0,0,0
85,Al0.75MoNbTiV,BCC,517,,,,1260,8,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211,0,0.211,0,0,0,0,0,0,0,0,0.211,0.211,0,0,0,0
86,AlMoNbTiV,BCC,537,,,,1375,3,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0
87,Al0.25NbTaTiV,BCC,,,,,1330,,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0,0,0,0,0,0,0,0.235,0.235,0.235,0,0,0,0
88,Al0.5NbTaTiV,BCC,,,,,1014,,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,0,0,0,0,0,0,0,0.222,0.222,0.222,0,0,0,0
89,AlNbTaTiV,BCC,,,,,993,,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0
90,Al0.3NbTa0.8Ti1.4V0.2Zr1.3,BCC,500,,,,1965,5,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.16,0.28,0.04,0,0,0,0.26
91,Al0.5NbTa0.8Ti1.5V0.2Zr,BCC,530,,,,2035,5,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.16,0.3,0.04,0,0,0,0.2
92,Al0.3NbTaTi1.4Zr1.3,BCC,490,,,,1965,5,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.28,0,0,0,0,0.26
93,AlNb1.5Ta0.5Ti1.5Zr0.5,BCC,408,,,,1280,4,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.1,0.3,0,0,0,0,0.1
94,AlNbTiV,BCC,448,,,,1020,5,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0
95,CrHfNbTiZr,BCC + lM,464,,,,1375,3,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.2
96,CrMo0.5NbTa0.5TiZr,BCC + lM,540,,,,1595,5,,https://doi.org/10.1016/j.dib.2018.11.111,0,1,0,1,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0.2
